Section,Station,Assigned_ID,Reviewed_ID,Title,Abstract,SpeakerAffil,Date,Start,End,Dow,Owner,Speaker,,Cal_Subj,Cal_Loc,Topic
SC23-POD8,PODs,,,Develop quantum computing algorithms with MATLAB and Amazon Braket,"The MATLAB Support Package for Quantum Computing lets you build, simulate, and run quantum algorithms on real quantum hardware through Amazon Braket. In this demo, explore how you can use the support package within the MATLAB environment to 1/ build circuits and implement quantum algorithms using a variety of built-in and customizable composite gates; 2/ verify the implementations with local simulators in MATLAB or simulators hosted on Amazon Braket; 3/ run the algorithms on quantum computers using Amazon Braket; and 4/ visualize, analyze, and plot results. See how the support package allows you to prototype algorithms to accelerate optimization, scenario simulation, and ML, in addition to helping you solve currently unsolvable problems in chemistry and material simulations.",MathWorks,14-Nov,14:00,15:00,Tuesday,XX,"Sohini Sarkar, Product Manager Lead, MathWorks",,Develop quantum computing algorithms with MATLAB and Amazon Braket,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD10,PODs,,,HPC and AI with AWS Graviton3,"AWS Arm-based Graviton3 instances provide high performance for HPC and AI while delivering cost and energy savings. Running on Arm instances is straightforward and supported by open source and major commercial applications. In this demonstration, explore the performance, scalability, and simplicity of HPC and AI on Arm.",ARM,14-Nov,14:00,18:00,Tuesday,XX,"David Lecomber. Sr. Director, HPC. ARM",,HPC and AI with AWS Graviton3,AWS Booth #1001 | Pod 10 SC'23 Denver,Graviton
SC23-POD5,PODs,,,"Advance your business with high-performing instances, powered by Intel","
In this demonstration, learn about the new Amazon EC2 C7i instance, powered by custom fourth-generation Intel Xeon processors that bring Intel Accelerator Engines, and the Hpc6id instance, powered by third-generation Intel Xeon processors, that offer cost-effective price performance for memory-bound and data-intensive high performance computing (HPC) workloads. Discover how the Intel oneAPI HPC Toolkit delivers what developers need to build, analyze, optimize, and scale HPC applications. With these instances, businesses in the HPC community can address their high performance and transformation demands. Together, AWS and Intel offer customers a broad and deep set of leading compute, networking, storage, cloud orchestration, and visualization technologies.",Intel,14-Nov,14:00,18:00,Tuesday,XX,"Peter Velasquez, Sales Account Maanger - AWS,; Diego Bailon Humpert, Global AWS Compute and Automotive GTM Lead",,"Advance your business with high-performing instances, powered by Intel",AWS Booth #1001 | Pod 5 SC'23 Denver,"HPC Optimized Instances, IntelMPI"
SC23-POD7,PODs,,,Redefining workload management with Altair,"
Altair workload managers are designed to improve productivity, optimize utilization and efficiency, and simplify administration for clusters, clouds, and supercomputers‚Äîfrom the biggest HPC workloads to millions of small, high-throughput jobs. With Altair HPCWorks, users can visualize, orchestrate, and analyze workloads to deliver the next breakthrough. Revolutionizing new technology breaks down silos between different HPC clusters and enables global access, budgeting, and resource reporting in an intuitive environment. Altair‚Äôs trusted solutions support scheduling for complex TOP500 systems as well as smaller cluster owners and span across industries and fields. With its high throughput, enterprise-grade job scheduler designed to meet the complex demands of semiconductor and electronic design automation (EDA), Altair HPCWorks is a top choice for workload management in businesses globally.",Altair,14-Nov,14:00,16:00,Tuesday,XX,"Mike Pautz, Director, Alliances, Altair;  Yvette Feli. Director, Partner Marketing, Altair ",,Redefining workload management with Altair,AWS Booth #1001 | Pod 7 SC'23 Denver,Workload Management
SC23-POD12,PODs,,,"Simcenter Cloud HPC: Accessible, flexible, and scalable HPC for simulation","
In this demo, see [RS1] how you can run CFD simulations in the cloud in just a few clicks. Simcenter Cloud HPC integrates Simcenter software with AWS Cloud infrastructure, delivering turnkey HPC as a service from a single platform. This cloud-based HPC solution frees engineers from the overhead of managing hardware and configuring infrastructure. It provides instant access to a vast pool of HPC resources without needing costly onsite clusters or queueing for HPC clusters to become available. Explore this comprehensive simulation solution that includes remote desktop‚Äìbased authoring, allowing you to access Simcenter STAR-CCM+ from anywhere at any time using a web browser. With no need for local installations, you can set up, conduct, and post-process your simulations in the cloud.",Siemens,14-Nov,14:00,18:00,Tuesday,XX,"Sinivasan Vimalanathan, Product Manager, Siemens; Joel Davison, Director Product Management, Siemens; Deryl Snyder VP Product Management, Siemens",,"Simcenter Cloud HPC: Accessible, flexible, and scalable HPC for simulation",AWS Booth #1001 | Pod 12 SC'23 Denver,CAE
SC23-POD6,PODs,,,Transforming scientific discovery data analysis: Clovertex‚Äôs AWS solution,"
At the intersection of science and technology, Clovertex is a systems integrator specializing in architecting, building, automating, and managing scientific applications, databases, data lakes, and workflows using cloud computing technologies. As a scientific applications service provider for the pharmaceutical domain, Clovertex offers a range of capabilities tailored to meet the specific needs of the industry. In this demonstration, explore customer examples where businesses have delivered new capabilities for scientific data analysis (including cryoEM) and learn how the synergy between cutting-edge science and cloud technology can drive innovation and accelerate progress in the field of structural biology.",Clovertex,14-Nov,14:00,16:00,Tuesday,XX,"Deven Atnoor, VP Scientific Strategy, Clovertex",,Transforming scientific discovery data analysis: Clovertex‚Äôs AWS solution,AWS Booth #1001 | Pod 6 SC'23 Denver,Research
AWS-THEATRE,T,,,Deploy & use a petabyte of Lustre storage faster than making a coffee,"Amazon FSx for Lustre helps you deploy high-performance Lustre systems in just a few clicks and has capabilities that most traditional storage systems lack—think of processing hundreds of gigabytes per second of throughput without months of planning, logistics, and testing. In this session, learn how to spin up a large-scale and fast Lustre file system in less time than it takes to make a coffee. Then, discover how it can synchronize with massive datasets in object storage and how you can choose from different classes of storage performance and price to match your organization’s needs. Finally, learn how you can use Amazon File Cache to deploy Lustre as a massively parallel cloud cache for storage systems in your own data centers and how this can be a useful tool for creating hybrid facilities that speed up your users’ time to results.",AWS,14-Nov,15:00,16:00,Tuesday,bouffler,"Randy Seamans, Principal Storage Solutions Architect, Public Sector, AWS; Brendan Bouffler, Senior Manager, HPC Developer Advocacy, AWS",,Deploy & use a petabyte of Lustre storage faster than making a coffee,AWS Booth #1001 | Theatre @ SC'23 Denver,Lustre
SC23-POD8,PODs,,,How quantum infrastructure software is delivering business advantage ,"Companies and talent alike are catching on to quantum computing. Companies are racing to build quantum computers with the most qubits, and people, from business leaders to students and job seekers, are looking to join the industry. However, a challenge is that today‚Äôs quantum computers are noisy and prone to error, which affects the accuracy of everything they attempt to do. This is what Q-CTRL is solving. Q-CTRL‚Äôs mission is to make quantum technology useful. This demo showcases how Q-CTRL infrastructure software is delivering business advantage from quantum computing. Q-CTRL builds commercial-ready, quantum control and error reduction products available on the AWS Marketplace and integrated with Amazon Braket.",Q-Ctrl,14-Nov,15:00,16:00,Tuesday,XX,"Alex Shih, Head of Product,Q-Ctrl; Rowen Wu, Product Manager, Q-Ctrl",,How quantum infrastructure software is delivering business advantage ,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD9,PODs,,,High-performance cloud and on-premises quantum computing simulation,"In the constantly evolving quantum computing  landscape, the Quantuloop Quantum Simulator Suite is emerging as a  transformative force within the realm of high performance computing (HPC).  Explore how Quantaloop‚Äôs suite empowers researchers, engineers, and  innovators to unlock the capabilities of quantum computing, all without the  inherent complexities typically linked with HPC software setup and  configuration. Experience the flexibility of conducting quantum simulations  either in the cloud or within your infrastructure, thereby augmenting  security, control, and the pace of your research and development endeavors.",Quantuloop,14-Nov,15:00,16:00,Tuesday,XX,"Claudio Lima, CEO, Quantuloop; Guilherme Lima, Data Scientist, Quantuloop",,High-performance cloud and on-premises quantum computing simulation,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
AWS-THEATRE,T,,,Building secure HPC environments with AWS ParallelCluster,"HPC systems and workloads have their own unique set of security challenges. Running these workloads on AWS can help you address these challenges in new ways and with this freedom comes the ability to choose different solutions based on your organization’s unique needs. In this session, walk through a traditional HPC security scenario and discover different approaches you can take to address these challenges. Find out how the AWS secure-by-design architecture helps take care of common security challenges, and learn best practices for building secure HPC environments on AWS. When you’re done, you’ll understand how your cloud infrastructure can be even more secure than your data centers.",AWS,14-Nov,16:00,17:00,Tuesday,bouffler,"Lowell Wofford, Principal HPC Solutions Architect, AWS; Evan Bollig, Principal HPC Specialist, AWS",,Building secure HPC environments with AWS ParallelCluster,AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, Security"
SC23-POD8,PODs,,,Toward a quantum-enhanced future with SoftServe R&D,"SoftServe combines cutting-edge advisory and software solutions. Their comprehensive R&DaaS includes fundamental research, hardware assessment, cloud proficiency, and talent development, allowing them to empower enterprises and software companies to rediscover differentiation, expedite solution development, and remain competitive in today‚Äôs marketplace, regardless of where you are on your journey. In this demo, explore SoftServe‚Äôs quantum industrialization journey, from pinpointing use cases to crafting solutions and seamless integration while benefiting from the flexibility and availability of AWS Cloud infrastructure. Then, explore widely applied combinatorial optimization problems. Additionally, learn about addressing demanding optimization problems through traditional high performance computing techniques, such as utilizing Monte Carlo methods for multi-GPU optimization and agent-based modeling for GPU-accelerated scheduling.",SoftServe,14-Nov,16:00,18:00,Tuesday,XX,"Tan Yick Wei (Jonas), Head of R&D, SoftServe; Damyr Hadiiev, R&D Science Practice Leader, SoftServe",,Toward a quantum-enhanced future with SoftServe R&D,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD9,PODs,,,Quantum simplicity: Classiq and Amazon Braket for quantum computing,"With quantum computing increasingly moving toward practical applications, the need for user-friendly and highly integrated platforms has never been greater. This session presents how the powerful integration between Classiq and Amazon Braket streamlines the user experience, from quantum circuit design to implementation. Learn how this integration eliminates the complexities of using and integrating quantum computers, allowing you to focus on solving real-world problems.",Classiq,14-Nov,16:00,18:00,Tuesday,XX,"Erik Garcell, Technical Marketing Manager, Classiq; Shai Lev, VP of Partnership, Classiq",,Quantum simplicity: Classiq and Amazon Braket for quantum computing,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD7,PODs,,,Hybrid: Powering NOAA‚Äôs multicloud and AI workloads,"In this demonstration, learn about the Parallel Works single pane of glass, multicloud environment operated by General Dynamics Information Technology for NOAA‚Äôs research and development HPC organization. Learn about key aspects of the implementation and optimization of the platform for large-scale HPC-driven research and development. The Parallel Works platform uses more than 20 AWS services, including Amazon FSx for Lustre, Amazon S3, Amazon EC2, and Amazon EFS. Dive deep on the end user experience, which incorporates the familiar on-premises computing environment and the flexibility and innovation of the cloud. Explore the portability of this environment to the multicloud environment and how it bridges the cloud to NOAA‚Äôs on-premises HPC resources. Discover how this environment supports AI operations that are critical to the evolution of environmental prediction at NOAA.",ParallelWorks,14-Nov,16:00,18:00,Tuesday,XX,"Michael Wilde, CEO, ParallelWorks; Unni Kirandumkara, HPC Cloud Developer Senior Advisor, GDIT, Inc.",,Hybrid: Powering NOAA‚Äôs multicloud and AI workloads,AWS Booth #1001 | Pod 7 SC'23 Denver,Hybrid
SC23-POD4,PODs,,,Reduce simulation time with TotalCAE on AWS,"TotalCAE on AWS reduces CAE simulation time up to 80% in just a few clicks for hundreds of CAE applications. See how easy it can be to adopt the latest AWS HPC technologies without being an IT expert, backed by TotalCAE one-hour support times.",TotalCAE,14-Nov,16:00,18:00,Tuesday,XX,"Rod Mach, Founder and CEO, TotalCAE",,Reduce simulation time with TotalCAE on AWS,AWS Booth #1001 | Pod 4 SC'23 Denver,CAE
SC23-POD6,PODs,,,Deploying a RAG model on AWS with Amazon Kendra and Amazon Bedrock,"Nextira, a part of Accenture, specializes in helping companies make use of state-of-the-art AI tooling and infrastructure in the cloud. In this session, explore an example ML implementation for legal informatics, where there is a pressing need to be continuously updated on the latest changes to US laws and regulations. Get an introduction to a system that deploys a Retrieval Augmented Generation (RAG) model on Amazon Web Services (AWS), focusing on a regulatory and compliance use case.",Nextira,14-Nov,16:00,18:00,Tuesday,XX,"Cory Kim, Associate Director, Accenture",,Deploying a RAG model on AWS with Amazon Kendra and Amazon Bedrock,AWS Booth #1001 | Pod 6 SC'23 Denver,"HPC Services, AI, EDA"
AWS-THEATRE,T,,,"Training Llama 2 using 1,000+ Amazon EC2 AWS Trainium chips","AWS Trainium purpose-built accelerators can be used to train large language models (LLMs) such as Llama 2. AWS Neuron is the SDK used to run deep learning workloads on AWS Trainium–based instances. It integrates the AI framework, such as PyTorch or TensorFlow, with the hardware to enable end-to-end ML development, including building new models and training and scaling these models. The AWS Neuron SDK supports multiple distributed libraries using tensor parallelism, pipeline parallelism, and sequence parallelism for large-scale training. In this session, find out how to use AWS ParallelCluster to launch Amazon EC2 Trn1 instances and train a Llama 2 model (up to 70B) on more than 1,000 chips.",AWS,14-Nov,17:00,18:00,Tuesday,bouffler,"Jianying Lang, Principal SA for Accelerated Computing",,"Training Llama 2 using 1,000+ Amazon EC2 AWS Trainium chips",AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, Generative AI"
COMMUNITY,C,,,Arm HPC User Group BoF ,Agenda: https://sc23.supercomputing.org/presentation/?id=bof120&sess=sess350 Rm 407,,14-Nov,17:15,18:45,Tuesday,bouffler,Agenda: https://sc23.supercomputing.org/presentation/?id=bof120&sess=sess350,,Arm HPC User Group BoF ,Rm 407,"Arm64, Graviton, Community, SC BoF"
COMMUNITY,C,,,Women in HPC networking reception,Details: https://womeninhpc.org/events/sc-2023-networking-reception The Curtis Hotel,,14-Nov,18:00,21:00,Tuesday,bouffler,Details: https://womeninhpc.org/events/sc-2023-networking-reception,,Women in HPC networking reception,The Curtis Hotel,"Community, WHPC, Networking"
COMMUNITY,C,,,AWS Networking reception,https://awsatsc23.splashthat.com/ Henry's Tavern,,14-Nov,18:30,20:30,Tuesday,paulaph@,https://awsatsc23.splashthat.com/,,AWS Networking reception,Henry's Tavern,Networking
COMMUNITY,C,,,AWS/NVIDIA Networking Reception,https://awsxnvidiareception.splashthat.com/ Hilton Denver City Center,,14-Nov,19:30,22:30,Tuesday,paulaph@,https://awsxnvidiareception.splashthat.com/,,AWS/NVIDIA Networking Reception,Hilton Denver City Center,Networking
COMMUNITY,C,,,AWS for Research breakfast at SC23,https://aws-research-breakfast-sc23.splashthat.com/ The Curtis Hotel,,15-Nov,8:00,10:00,Wednesday,brezita@,https://aws-research-breakfast-sc23.splashthat.com/,,AWS for Research breakfast at SC23,The Curtis Hotel,Networking
AWS-THEATRE,T,,,Amazon Braket: The quantum computing service of AWS,"Amazon Braket helps organizations get access to quantum computing hardware and simulators so they can speed up their scientific research and software development for quantum computing. This session shows short tutorials and shares how to run quantum circuits using real gate-based devices and simulators. Learn how to run your first quantum AI algorithm using Amazon Braket Hybrid Jobs. Along the way, explore Amazon Braket’s features, see examples from the AWS quantum algorithm library, and get your questions answered.",AWS,15-Nov,10:00,11:00,Wednesday,bouffler,"Christian Madsen, Quantum Computing SDM, Amazon Braket, AWS; Michael Brett, Principal Specialist, Amazon Braket, AWS",,Amazon Braket: The quantum computing service of AWS,AWS Booth #1001 | Theatre @ SC'23 Denver,"Quantum computing, Amazon Braket"
SC23-POD8,PODs,,,How quantum infrastructure software is delivering business advantage ,"Companies and talent alike are catching on to quantum computing. Companies are racing to build quantum computers with the most qubits, and people, from business leaders to students and job seekers, are looking to join the industry. However, a challenge is that today‚Äôs quantum computers are noisy and prone to error, which affects the accuracy of everything they attempt to do. This is what Q-CTRL is solving. Q-CTRL‚Äôs mission is to make quantum technology useful. This demo showcases how Q-CTRL infrastructure software is delivering business advantage from quantum computing. Q-CTRL builds commercial-ready, quantum control and error reduction products available on the AWS Marketplace and integrated with Amazon Braket.",Q-Ctrl,15-Nov,10:00,12:00,Wednesday,XX,"Alex Shih, Head of Product,Q-Ctrl; Rowen Wu, Product Manager, Q-Ctrl",,How quantum infrastructure software is delivering business advantage ,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD9,PODs,,,Toward a quantum-enhanced future with SoftServe R&D,"SoftServe combines cutting-edge advisory and software solutions. Their comprehensive R&DaaS includes fundamental research, hardware assessment, cloud proficiency, and talent development, allowing them to empower enterprises and software companies to rediscover differentiation, expedite solution development, and remain competitive in today‚Äôs marketplace, regardless of where you are on your journey. In this demo, explore SoftServe‚Äôs quantum industrialization journey, from pinpointing use cases to crafting solutions and seamless integration while benefiting from the flexibility and availability of AWS Cloud infrastructure. Then, explore widely applied combinatorial optimization problems. Additionally, learn about addressing demanding optimization problems through traditional high performance computing techniques, such as utilizing Monte Carlo methods for multi-GPU optimization and agent-based modeling for GPU-accelerated scheduling.",SoftServe,15-Nov,10:00,12:00,Wednesday,XX,"Tan Yick Wei (Jonas), Head of R&D, SoftServe; Damyr Hadiiev, R&D Science Practice Leader, SoftServe",,Toward a quantum-enhanced future with SoftServe R&D,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD5,PODs,,,"Advance your business with high-performing instances, powered by Intel","
In this demonstration, learn about the new Amazon EC2 C7i instance, powered by custom fourth-generation Intel Xeon processors that bring Intel Accelerator Engines, and the Hpc6id instance, powered by third-generation Intel Xeon processors, that offer cost-effective price performance for memory-bound and data-intensive high performance computing (HPC) workloads. Discover how the Intel oneAPI HPC Toolkit delivers what developers need to build, analyze, optimize, and scale HPC applications. With these instances, businesses in the HPC community can address their high performance and transformation demands. Together, AWS and Intel offer customers a broad and deep set of leading compute, networking, storage, cloud orchestration, and visualization technologies.",Intel,15-Nov,10:00,13:00,Wednesday,XX,"Peter Velasquez, Sales Account Maanger - AWS,; Diego Bailon Humpert, Global AWS Compute and Automotive GTM Lead",,"Advance your business with high-performing instances, powered by Intel",AWS Booth #1001 | Pod 5 SC'23 Denver,"HPC Optimized Instances, IntelMPI"
SC23-POD10,PODs,,,Powering the era of HPC and generative AI,"In this session, explore innovations in climate simulation, weather modeling, energy efficiency, and more powered by full-stack Accelerators from AWS and NVIDIA.",NVidia,15-Nov,10:00,12:00,Wednesday,XX,TBD,,Powering the era of HPC and generative AI,AWS Booth #1001 | Pod 10 SC'23 Denver,"Accelerators, Generative AI"
SC23-POD7,PODs,,,Redefining workload management with Altair,"
Altair workload managers are designed to improve productivity, optimize utilization and efficiency, and simplify administration for clusters, clouds, and supercomputers‚Äîfrom the biggest HPC workloads to millions of small, high-throughput jobs. With Altair HPCWorks, users can visualize, orchestrate, and analyze workloads to deliver the next breakthrough. Revolutionizing new technology breaks down silos between different HPC clusters and enables global access, budgeting, and resource reporting in an intuitive environment. Altair‚Äôs trusted solutions support scheduling for complex TOP500 systems as well as smaller cluster owners and span across industries and fields. With its high throughput, enterprise-grade job scheduler designed to meet the complex demands of semiconductor and electronic design automation (EDA), Altair HPCWorks is a top choice for workload management in businesses globally.",Altair,15-Nov,10:00,12:00,Wednesday,XX,"Mike Pautz, Director, Alliances, Altair;  Yvette Feli. Director, Partner Marketing, Altair ",,Redefining workload management with Altair,AWS Booth #1001 | Pod 7 SC'23 Denver,Workload Management
SC23-POD12,PODs,,,"Simcenter Cloud HPC: Accessible, flexible, and scalable HPC for simulation","
In this demo, see [RS1] how you can run CFD simulations in the cloud in just a few clicks. Simcenter Cloud HPC integrates Simcenter software with AWS Cloud infrastructure, delivering turnkey HPC as a service from a single platform. This cloud-based HPC solution frees engineers from the overhead of managing hardware and configuring infrastructure. It provides instant access to a vast pool of HPC resources without needing costly onsite clusters or queueing for HPC clusters to become available. Explore this comprehensive simulation solution that includes remote desktop‚Äìbased authoring, allowing you to access Simcenter STAR-CCM+ from anywhere at any time using a web browser. With no need for local installations, you can set up, conduct, and post-process your simulations in the cloud.",Siemens,15-Nov,10:00,14:00,Wednesday,XX,"Sinivasan Vimalanathan, Product Manager, Siemens; Joel Davison, Director Product Management, Siemens; Deryl Snyder VP Product Management, Siemens",,"Simcenter Cloud HPC: Accessible, flexible, and scalable HPC for simulation",AWS Booth #1001 | Pod 12 SC'23 Denver,CAE
SC23-POD4,PODs,,,Deploying a RAG model on AWS with Amazon Kendra and Amazon Bedrock,"Nextira, a part of Accenture, specializes in helping companies make use of state-of-the-art AI tooling and infrastructure in the cloud. In this session, explore an example ML implementation for legal informatics, where there is a pressing need to be continuously updated on the latest changes to US laws and regulations. Get an introduction to a system that deploys a Retrieval Augmented Generation (RAG) model on Amazon Web Services (AWS), focusing on a regulatory and compliance use case.",Nextira,15-Nov,10:00,12:00,Wednesday,XX,"Cory Kim, Associate Director, Accenture",,Deploying a RAG model on AWS with Amazon Kendra and Amazon Bedrock,AWS Booth #1001 | Pod 4 SC'23 Denver,"HPC Services, AI, EDA"
SC23-POD6,PODs,,,HPC made easy on AWS with UCit solutions,"UCit's solutions on AWS ParallelCluster can help you create custom clusters on AWS for Hybrid operations. In this session, learn how you can benefit from workstation fleets integration and seamless pre- and post-processing applications for both Linux and Windows fleets. OKA Cloud is included to increase efficiency, limit waste, and provide powerful insights on cluster usage, performance, and costs.",UCit,15-Nov,10:00,12:00,Wednesday,XX,"Benjamin Depardon, CTO, UCit; Julien Vacher, Marketing Manager, UCit; 
Brian Amedro, Cloud Architect, UCit; Philippe Bricard, CEO, UCit",,HPC made easy on AWS with UCit solutions,AWS Booth #1001 | Pod 6 SC'23 Denver,Migration
AWS-THEATRE,T,,,Model training with AWS ParallelCluster,"Training AI (ML) models requires setting up clusters that enable many GPUs to talk to each other using low-latency networking that is capable of driving massive throughput. This session shares in real time how you can quickly and easily set up an ML training cluster using AWS ParallelCluster, NVIDIA GPUs, Elastic Fabric Adapter (EFA), and Amazon FSx for Lustre. Learn how to train a GPT model using Megatron-LM, store the results, and collapse the infrastructure when you’re finished.",AWS,15-Nov,11:00,12:00,Wednesday,bouffler,"Sean Smith, Senior HPC Specialist Solutions Architect, AWS; Brian Skjerven, Senior UK/IR HPC Specialist Solutions Architect, AWS",,Model training with AWS ParallelCluster,AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, AI"
AWS-THEATRE,T,,,Cooking up advanced HPC with community recipes,"HPC systems deployed on AWS often rely on various resources like file systems, networking, and directory services. Despite AWS ParallelCluster’s automation capabilities, setting up and integrating these dependencies can become complex if you have a lot of custom requirements. In this session, walk through how the new HPC Recipes for AWS library simplifies this process. Then, learn how to create a multi-user environment, configure shared storage, set up a budget, and deploy a benchmarking cluster with just a few clicks in the AWS Management Console. Finally, discover how to combine, modify, and reuse these recipes to meet your particular needs—without needing to be an AWS expert.",AWS,15-Nov,12:00,13:00,Wednesday,bouffler,"Matt Vaughn, Principal HPC Developer Advocate, AWS; Brian Skjerven, Senior UK/IR HPC Specialist Solutions Architect, AWS",,Cooking up advanced HPC with community recipes,AWS Booth #1001 | Theatre @ SC'23 Denver,ParallelCluster
SC23-POD7,PODs,,,Getting to the winning molecules faster,"Promethium is a revolutionary chemistry simulation platform developed by QC Ware that will significantly accelerate the drug, material, and chemical discovery process. Built for virtually unlimited scalability on Amazon EC2 P3 and P4d instances, Promethium was designed to be GPU native and perform fully ab initio density functional theory (DFT) calculations with exceptional speed and accuracy. Coupled with its capability to treat system sizes not typically accessible by DFT, Promethium has the potential to transform the industry and bring immediate value to customers in areas like pharma and materials science. Whether you‚Äôre trying to discover the next blockbuster drug or developing more advanced materials, join this session to learn how Promethium can help you make breakthrough discoveries and take your research to the next level.",QC Ware,15-Nov,12:00,14:00,Wednesday,XX,"Alicia Welden, Technical Account Manager, QC Ware",,Getting to the winning molecules faster,AWS Booth #1001 | Pod @ SC'23 Denver,"HPC, GPU, Accelerators"
SC23-POD9,PODs,,,IonQ QPUs for Amazon Braket and new features,"During this demo, discover IonQ‚Äôs offerings tailored for Amazon Braket customers. Delve into IonQ‚Äôs roadmap and upcoming architectures, Forte and Tempo. Explore new features like debiasing and sharpening, and see a brief hands-on demo of initiating Amazon Braket with IonQ‚Äôs QPU backends.",IonQ,15-Nov,12:00,14:00,Wednesday,XX,"Vadim Karpusenko, Staff Developer Advocate, IonQ",,IonQ QPUs for Amazon Braket and new features,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD8,PODs,,,Scaling AI and generative AI workloads with Covalent,"As focus shifts from data-centric to compute-intensive tasks, many traditional cloud tools struggle to maintain efficiency and scalability. Built on AWS, Covalent provides developer-friendly abstractions for high-compute workloads. Users can integrate their own AWS Batch jobs for computing while Covalent takes care of orchestration to maintain data privacy. The framework harnesses AWS services such as Amazon SQS, Amazon EventBridge, and AWS Lambda to enhance scalability and cost-efficiency. Covalent optimizes costs and simplifies development, making compute-intensive tasks feel like an extension of one‚Äôs local laptop. This demo delves into Covalent‚Äôs unique positioning in meeting the demands of high-compute developments, including large language models (AIs) and generative AI.",Agnostiq,15-Nov,12:00,14:00,Wednesday,XX,"Oktay Goktas, CEO, Agnostiq; Santosh Kumar Radha, Head of Product, Agnostiq
",,Scaling AI and generative AI workloads with Covalent,AWS Booth #1001 | Pod @ SC'23 Denver,"Batch, Generative AI, AI, HPC"
SC23-POD6,PODs,,,AutoHPC: Automated HPC cluster creation and expert support,"AutoHPC is a cutting-edge SaaS solution tailored for HPC users seeking the advantages of HPC systems without the substantial upfront investment required for purchasing and maintaining HPC hardware. In this demonstration, learn how you can make the installation, configuration, access, monitoring, and budgeting of your HPC cluster an effortless experience with AutoHPC‚Äôs user-friendly interface. By asking you a few simple questions, AutoHPC can automate the entire process from start to finish, making it faster and easier to set up and manage your HPC cluster.",BrightSkies,15-Nov,12:00,14:00,Wednesday,XX,"Nour AbouElNada, Product Manager, BrightSkies; Khaled El Amrawi, CEO Brightskies",,AutoHPC: Automated HPC cluster creation and expert support,AWS Booth #1001 | Pod 6 SC'23 Denver,Workload Management
SC23-POD11,PODs,,,Transforming scientific discovery data analysis: Clovertex‚Äôs AWS solution,"
At the intersection of science and technology, Clovertex is a systems integrator specializing in architecting, building, automating, and managing scientific applications, databases, data lakes, and workflows using cloud computing technologies. As a scientific applications service provider for the pharmaceutical domain, Clovertex offers a range of capabilities tailored to meet the specific needs of the industry. In this demonstration, explore customer examples where businesses have delivered new capabilities for scientific data analysis (including cryoEM) and learn how the synergy between cutting-edge science and cloud technology can drive innovation and accelerate progress in the field of structural biology.",Clovertex,15-Nov,12:00,14:00,Wednesday,XX,"Deven Atnoor, VP Scientific Strategy, Clovertex",,Transforming scientific discovery data analysis: Clovertex‚Äôs AWS solution,AWS Booth #1001 | Pod 11 SC'23 Denver,Research
SC23-POD4,PODs,,,"Rescale HTC platform for semiconductor, manufacturing, and pharma","High-throughput computing (HTC) is emerging as a powerful capability for engineering and research across many industries. From drug discovery and computational chemistry to electronic design automation (EDA) and environmental research, HTC is helping scientific and engineering teams perform massively parallel processing to quickly analyze vast quantities of information for solving some of the world‚Äôs most complex scientific and engineering challenges. In this demo, see how companies like Arm use the Rescale HTC platform powered by services like AWS Batch and AWS Graviton3E-based Amazon EC2 instances to run large-scale analyses for semiconductor design.",Rescale,15-Nov,12:00,16:00,Wednesday,XX,"Billy Karasz, Senior Solutions Architect, Rescale; Madhu Vellaka, Solutions Engineering Manager, Rescale",,"Rescale HTC platform for semiconductor, manufacturing, and pharma",AWS Booth #1001 | Pod 4 SC'23 Denver,"Graviton, Batch, HTC"
SC23-POD10,PODs,,,Supercomputing on AWS with RONIN: It's not complicated[YK1],"RONIN is a one-stop shop for self-service cloud management. It helps businesses migrate critical and expensive business functions, such as storage management, desktop virtualization, and HPC footprint, to a more flexible, secure, and efficient AWS architecture. RONIN can assist you in scaling up to a fleet of HPC supercomputers to meet the demands of your business, and most importantly, scale them back down when you no longer require the compute power that AWS and RONIN provide. In this demonstration, learn how RONIN can help you stay compliant with regulations, automate tasks, and provide a single pane of glass experience for a better view of your operations.",RONIN,15-Nov,12:00,16:00,Wednesday,XX,"Nathan Albrighton, CEO, RONIN; Byron Low, COO, RONIN; Parice Brandies, Principal Bioinfomatician, RONIN; Don Hancock, CFO, RONIN; Aaron Albrighton, Lead Developer, RONIN",,Supercomputing on AWS with RONIN: It's not complicated,AWS Booth #1001 | Pod 10 SC'23 Denver,Research
